id_smart;name;description;cod_cat_n1_smt;categoria_nivel_1;cod_cat_n2_smt;categoria_nivel_2;marca;formato;precio;image1;image2;image3;empresa;name_tottus;score_tottus;marca_tottus;formato_tottus;precio_tottus;name_lider;score_lider;marca_lider;formato_lider;precio_lider;name_jumbo;score_jumbo;marca_jumbo;formato_jumbo;precio_jumbo;flag_mmpp
L560808;Masa Empanada Freir, 12 Un;Tapas para Empanadas Para Freír De Gustar, 360g;PL_001;Platos Preparados;PT_001;Para Terminar en Casa;de gustar;12 un;1990.0;https://images.lider.cl/wmtcl?source=url[file:/productos/769093a.jpg]&sink;;;Lider;;;;;;masa empanada freir 12 gustar 12;95.0;de gustar;12 un;1990.0;;;;;;0
L561024;Alimento Seco Perro Adulto Raza Pequeña Carne Bolsa, 8 Kg;no info;MAS_001;Mascotas;PE_001;Perro;master dog;8 kg;22290.0;https://images.lider.cl/wmtcl?source=url[file:/productos/769445a.jpg]&sink;;;Lider;;;;;;alimento seco perro adulto raza pequeña carne bolsa 8 kg master dog 8 kg;95.0;master dog;8 kg;22290.0;;;;;;0
L561025;Alimento Seco Perro Senior Raza Mediana/Grande Carne Bolsa, 8 Kg;no info;MAS_001;Mascotas;PE_001;Perro;master dog;8 kg;22290.0;https://images.lider.cl/wmtcl?source=url[file:/productos/769447a.jpg]&sink;;;Lider;;;;;;alimento seco perro senior raza medianagrande carne bolsa 8 kg master dog 8 kg;95.0;master dog;8 kg;22290.0;;;;;;0
L683050;Alimento Humedo Perro Adulto Sabor Carne Pouch, 100 g;no info;MAS_001;Mascotas;PE_001;Perro;pedigree;100 g;740.0;https://images.lider.cl/wmtcl?source=url[file:/productos/769449a.jpg]&sink;;;Lider;;;;;;alimento humedo perro adulto sabor carne pouch 100 g pedigree 100 g;95.0;pedigree;100 g;740.0;;;;;;0
L683049;Alimento Humedo Perro Adulto Sabor Pollo Pouch, 100 g;no info;MAS_001;Mascotas;PE_001;Perro;pedigree;100 g;740.0;https://images.lider.cl/wmtcl?source=url[file:/productos/769451a.jpg]&sink;;;Lider;;;;;;alimento humedo perro adulto sabor pollo pouch 100 g pedigree 100 g;95.0;pedigree;100 g;740.0;;;;;;0
L561233;Pasta Untable Ave Palta, 250 g;Pasta Cocktail Pote Ave Palta Corbac Dips, 250g;PL_001;Platos Preparados;COT_001;Cóctel;corbac;250 g;3090.0;https://images.lider.cl/wmtcl?source=url[file:/productos/769694a.jpg]&sink;;;Lider;;;;;;pasta untable ave palta 250 g corbac 250 g;95.0;corbac;250 g;3090.0;;;;;;0
L561550;Yoghurt Batido Vainilla Botella, 1000 ml;Yoghurt Batido Vainilla Soprole, 1kg;CO_001;Colaciones;YG_001;Yoghurt;soprole;1000 ml;2250.0;https://images.lider.cl/wmtcl?source=url[file:/productos/770256a.jpg]&sink;;;Lider;;;;;;yoghurt batido vainilla botella 1000 ml soprole 1000 ml;95.0;soprole;1000 ml;2250.0;;;;;;0
L561551;Yoghurt Batido Damasco Botella, 1 L;Yoghurt Batido Damasco Soprole, 1kg;CO_001;Colaciones;YG_001;Yoghurt;soprole;1 l;2250.0;https://images.lider.cl/wmtcl?source=url[file:/productos/770260a.jpg]&sink;;;Lider;;;;;;yoghurt batido damasco botella 1 l soprole 1 l;95.0;soprole;1 l;2250.0;;;;;;0
L561553;Yoghurt Batido Frutilla Botella, 1000 ml;Yoghurt Batido Frutilla Soprole, 1kg;CO_001;Colaciones;YG_001;Yoghurt;soprole;1000 ml;2250.0;https://images.lider.cl/wmtcl?source=url[file:/productos/770262a.jpg]&sink;;;Lider;;;;;;yoghurt batido frutilla botella 1000 ml soprole 1000 ml;95.0;soprole;1000 ml;2250.0;;;;;;0
L561858;Pan De Queso, 400 g;Pan de Queso Congelado Tradicional Forno de Minas, 400g;C_001;Congelados;CC_001;Comidas Congeladas;forno de minas;400 g;4350.0;https://images.lider.cl/wmtcl?source=url[file:/productos/770850a.jpg]&sink;;;Lider;;;;;;pan queso 400 g forno minas 400 g;95.0;forno de minas;400 g;4350.0;;;;;;0
L561858;Pan De Queso, 400 g;Pan de Queso Congelado Tradicional Forno de Minas, 400g;PL_001;Platos Preparados;COT_001;Cóctel;forno de minas;400 g;4350.0;https://images.lider.cl/wmtcl?source=url[file:/productos/770850a.jpg]&sink;;;Lider;;;;;;pan queso 400 g forno minas 400 g;95.0;forno de minas;400 g;4350.0;;;;;;0
L561881;Yoghurt+Cereal Yogumix Pack, 5 Un;no info;CO_001;Colaciones;YG_001;Yoghurt;colun;5 un;3450.0;https://images.lider.cl/wmtcl?source=url[file:/productos/770882a.jpg]&sink;;;Lider;;;;;;yoghurtcereal yogumix pack 5 colun 5;95.0;colun;5 un;3450.0;;;;;;0
L561886;Yoghurt+Cereal Yogumix Sabor Vainilla + Cereal Chocolate Colores, 140 g;Yoghurt Yogumix Frutilla + Cereal Choco Colores Kids Colun, 140g;CO_001;Colaciones;YG_001;Yoghurt;colun;140 g;700.0;https://images.lider.cl/wmtcl?source=url[file:/productos/770890a.jpg]&sink;;;Lider;;;;;;yoghurtcereal yogumix sabor vainilla cereal chocolate colores 140 g colun 140 g;95.0;colun;140 g;700.0;;;;;;0
L561889;Yoghurt+Cereal Yogumix Sabor Vainilla + Cereal Chocolate, 140 g;Yogurt con Cereal Vainilla + Chocolate Kids Colun, 140g;CO_001;Colaciones;YG_001;Yoghurt;colun;140 g;700.0;https://images.lider.cl/wmtcl?source=url[file:/productos/770894a.jpg]&sink;;;Lider;;;;;;yoghurtcereal yogumix sabor vainilla cereal chocolate 140 g colun 140 g;95.0;colun;140 g;700.0;;;;;;0
